hex_id,stat,utci_present,utci_2050,utci_2090
945,typical_day_mean_utci,33.92,38.14,41.41
946,typical_day_mean_utci,34.12,38.39,41.69
985,typical_day_mean_utci,33.96,38.2,41.46
947,typical_day_mean_utci,34.35,38.65,42.0
986,typical_day_mean_utci,34.21,38.5,41.82
1025,typical_day_mean_utci,33.97,38.2,41.47
1103,typical_day_mean_utci,33.8,37.99,41.22
1064,typical_day_mean_utci,33.89,38.1,41.35
1181,typical_day_mean_utci,33.8,38.0,41.24
1142,typical_day_mean_utci,34.02,38.27,41.56
1182,typical_day_mean_utci,34.04,38.29,41.58
1143,typical_day_mean_utci,34.78,39.21,42.69
1183,typical_day_mean_utci,34.58,38.95,42.37
752,typical_day_mean_utci,34.92,39.39,42.91
714,typical_day_mean_utci,35.01,39.5,43.03
792,typical_day_mean_utci,34.81,39.25,42.74
753,typical_day_mean_utci,35.07,39.59,43.15
715,typical_day_mean_utci,35.03,39.53,43.08
793,typical_day_mean_utci,34.94,39.42,42.94
754,typical_day_mean_utci,34.98,39.47,43.01
716,typical_day_mean_utci,35.22,39.79,43.41
794,typical_day_mean_utci,34.82,39.25,42.74
755,typical_day_mean_utci,34.84,39.28,42.77
675,typical_day_mean_utci,35.14,39.67,43.25
637,typical_day_mean_utci,34.7,39.12,42.57
676,typical_day_mean_utci,34.99,39.5,43.05
638,typical_day_mean_utci,34.95,39.42,42.93
677,typical_day_mean_utci,34.96,39.44,42.96
639,typical_day_mean_utci,35.13,39.65,43.22
678,typical_day_mean_utci,35.12,39.68,43.27
640,typical_day_mean_utci,35.39,40.02,43.7
679,typical_day_mean_utci,35.22,39.81,43.44
641,typical_day_mean_utci,35.23,39.84,43.49
832,typical_day_mean_utci,33.9,38.07,41.28
910,typical_day_mean_utci,33.86,38.08,41.32
872,typical_day_mean_utci,32.32,36.0,38.72
833,typical_day_mean_utci,34.99,39.49,43.05
911,typical_day_mean_utci,32.86,36.73,39.64
873,typical_day_mean_utci,33.86,38.0,41.19
912,typical_day_mean_utci,33.39,37.42,40.49
834,typical_day_mean_utci,34.58,38.98,42.41
874,typical_day_mean_utci,35.0,39.48,43.02
913,typical_day_mean_utci,34.87,39.33,42.83
717,typical_day_mean_utci,34.95,39.46,43.02
795,typical_day_mean_utci,34.91,39.38,42.9
756,typical_day_mean_utci,35.17,39.76,43.41
718,typical_day_mean_utci,35.32,39.95,43.64
796,typical_day_mean_utci,35.14,39.69,43.3
757,typical_day_mean_utci,35.28,39.89,43.55
719,typical_day_mean_utci,35.25,39.86,43.51
797,typical_day_mean_utci,35.17,39.73,43.34
758,typical_day_mean_utci,35.21,39.77,43.39
798,typical_day_mean_utci,35.1,39.62,43.19
835,typical_day_mean_utci,35.07,39.6,43.17
875,typical_day_mean_utci,35.15,39.68,43.25
914,typical_day_mean_utci,34.74,39.13,42.58
836,typical_day_mean_utci,35.24,39.81,43.42
876,typical_day_mean_utci,35.12,39.63,43.18
915,typical_day_mean_utci,35.18,39.7,43.29
837,typical_day_mean_utci,35.07,39.57,43.13
877,typical_day_mean_utci,33.89,37.99,41.15
838,typical_day_mean_utci,33.53,37.55,40.61
916,typical_day_mean_utci,34.0,38.18,41.41
680,typical_day_mean_utci,35.17,39.74,43.35
642,typical_day_mean_utci,35.24,39.87,43.55
