hex_id,stat,utci_present,utci_2050,utci_2090
6143,typical_day_mean_utci,30.01,31.47,32.57
6037,typical_day_mean_utci,29.03,30.5,31.6
6251,typical_day_mean_utci,29.37,30.83,31.89
6144,typical_day_mean_utci,30.16,31.62,32.74
5824,typical_day_mean_utci,29.8,31.26,32.39
6984,typical_day_mean_utci,29.86,31.31,32.41
8808,typical_day_mean_utci,30.12,31.55,32.64
9022,typical_day_mean_utci,29.96,31.38,32.46
8915,typical_day_mean_utci,29.58,31.0,32.08
8809,typical_day_mean_utci,29.88,31.31,32.39
9023,typical_day_mean_utci,29.7,31.12,32.21
8916,typical_day_mean_utci,30.5,31.92,33.01
8810,typical_day_mean_utci,30.32,31.74,32.84
9024,typical_day_mean_utci,30.34,31.76,32.86
9450,typical_day_mean_utci,29.69,31.13,32.21
9343,typical_day_mean_utci,29.67,31.12,32.2
9451,typical_day_mean_utci,30.15,31.59,32.67
9344,typical_day_mean_utci,29.9,31.33,32.41
9452,typical_day_mean_utci,32.03,33.45,34.61
9345,typical_day_mean_utci,30.1,31.53,32.61
9453,typical_day_mean_utci,31.65,33.07,34.2
9236,typical_day_mean_utci,29.8,31.23,32.34
9129,typical_day_mean_utci,29.88,31.3,32.39
9237,typical_day_mean_utci,29.92,31.35,32.44
9130,typical_day_mean_utci,29.9,31.33,32.42
9238,typical_day_mean_utci,30.29,31.72,32.81
9131,typical_day_mean_utci,30.76,32.17,33.28
9239,typical_day_mean_utci,31.22,32.63,33.77
9132,typical_day_mean_utci,29.09,30.51,31.56
9240,typical_day_mean_utci,30.15,31.58,32.67
9133,typical_day_mean_utci,29.21,30.64,31.69
7735,typical_day_mean_utci,29.85,31.29,32.38
7628,typical_day_mean_utci,29.94,31.38,32.47
7736,typical_day_mean_utci,29.71,31.16,32.23
7841,typical_day_mean_utci,31.62,33.06,34.19
8055,typical_day_mean_utci,31.32,32.74,33.86
7949,typical_day_mean_utci,30.88,32.32,33.43
7842,typical_day_mean_utci,29.19,30.62,31.65
8163,typical_day_mean_utci,28.56,29.99,31.02
8164,typical_day_mean_utci,29.91,31.36,32.45
8271,typical_day_mean_utci,29.82,31.26,32.35
8165,typical_day_mean_utci,29.59,31.03,32.11
8056,typical_day_mean_utci,29.54,30.98,32.04
7950,typical_day_mean_utci,30.36,31.81,32.91
8057,typical_day_mean_utci,31.74,33.18,34.33
7843,typical_day_mean_utci,29.85,31.3,32.39
7951,typical_day_mean_utci,32.53,33.97,35.15
7844,typical_day_mean_utci,31.46,32.9,34.05
8058,typical_day_mean_utci,29.54,30.98,32.07
7952,typical_day_mean_utci,30.99,32.43,33.55
8059,typical_day_mean_utci,29.6,31.03,32.12
7845,typical_day_mean_utci,32.6,34.03,35.23
8379,typical_day_mean_utci,29.24,30.67,31.71
8272,typical_day_mean_utci,30.94,32.38,33.5
8166,typical_day_mean_utci,30.2,31.64,32.75
8380,typical_day_mean_utci,29.82,31.26,32.34
8273,typical_day_mean_utci,31.62,33.06,34.2
8381,typical_day_mean_utci,29.77,31.21,32.29
8167,typical_day_mean_utci,32.46,33.89,35.06
8274,typical_day_mean_utci,30.02,31.46,32.54
8382,typical_day_mean_utci,30.17,31.59,32.67
8168,typical_day_mean_utci,31.31,32.73,33.87
8487,typical_day_mean_utci,29.77,31.22,32.3
8701,typical_day_mean_utci,29.74,31.17,32.25
8595,typical_day_mean_utci,29.8,31.25,32.33
8488,typical_day_mean_utci,30.25,31.69,32.77
8702,typical_day_mean_utci,31.0,32.43,33.53
8596,typical_day_mean_utci,30.62,32.05,33.15
8703,typical_day_mean_utci,30.29,31.72,32.83
7953,typical_day_mean_utci,29.74,31.17,32.23
7846,typical_day_mean_utci,31.73,33.16,34.3
8060,typical_day_mean_utci,30.6,32.02,33.11
7954,typical_day_mean_utci,31.39,32.81,33.93
7847,typical_day_mean_utci,30.13,31.58,32.67
8061,typical_day_mean_utci,30.06,31.5,32.59
7955,typical_day_mean_utci,31.63,33.07,34.21
7848,typical_day_mean_utci,30.55,32.0,33.12
8062,typical_day_mean_utci,29.63,31.08,32.17
7956,typical_day_mean_utci,29.37,30.82,31.91
8275,typical_day_mean_utci,29.93,31.36,32.44
8169,typical_day_mean_utci,29.74,31.19,32.28
8383,typical_day_mean_utci,29.72,31.16,32.23
8276,typical_day_mean_utci,30.1,31.54,32.64
8170,typical_day_mean_utci,29.64,31.08,32.15
8489,typical_day_mean_utci,32.4,33.83,35.0
8917,typical_day_mean_utci,30.85,32.27,33.38
8811,typical_day_mean_utci,29.74,31.18,32.26
9025,typical_day_mean_utci,29.44,30.87,31.93
8918,typical_day_mean_utci,30.36,31.8,32.89
9026,typical_day_mean_utci,29.51,30.94,32.01
9346,typical_day_mean_utci,31.2,32.62,33.75
9454,typical_day_mean_utci,32.99,34.41,35.6
9347,typical_day_mean_utci,29.98,31.4,32.48
9455,typical_day_mean_utci,31.54,32.95,34.09
9348,typical_day_mean_utci,29.82,31.25,32.32
9456,typical_day_mean_utci,31.28,32.72,33.88
9241,typical_day_mean_utci,29.72,31.16,32.24
9134,typical_day_mean_utci,29.87,31.31,32.4
9242,typical_day_mean_utci,29.12,30.56,31.61
9349,typical_day_mean_utci,29.17,30.6,31.66
9457,typical_day_mean_utci,29.81,31.27,32.41
6888,typical_day_mean_utci,32.75,34.2,35.41
6674,typical_day_mean_utci,31.61,33.07,34.22
6781,typical_day_mean_utci,32.12,33.57,34.74
6889,typical_day_mean_utci,32.25,33.71,34.88
6675,typical_day_mean_utci,30.44,31.9,33.02
6782,typical_day_mean_utci,30.59,32.03,33.14
6890,typical_day_mean_utci,31.11,32.57,33.71
6676,typical_day_mean_utci,32.26,33.73,34.92
6783,typical_day_mean_utci,30.19,31.66,32.77
6891,typical_day_mean_utci,29.9,31.37,32.47
7744,typical_day_mean_utci,29.93,31.4,32.52
7530,typical_day_mean_utci,31.12,32.58,33.72
7637,typical_day_mean_utci,29.91,31.38,32.49
7531,typical_day_mean_utci,30.17,31.63,32.74
6677,typical_day_mean_utci,32.2,33.66,34.84
6784,typical_day_mean_utci,29.93,31.4,32.5
6892,typical_day_mean_utci,29.2,30.67,31.75
6678,typical_day_mean_utci,30.79,32.25,33.38
6785,typical_day_mean_utci,29.85,31.31,32.41
6679,typical_day_mean_utci,29.42,30.89,32.0
7319,typical_day_mean_utci,31.82,33.26,34.43
6998,typical_day_mean_utci,30.2,31.65,32.75
7212,typical_day_mean_utci,29.94,31.39,32.48
7106,typical_day_mean_utci,30.91,32.36,33.5
6999,typical_day_mean_utci,29.43,30.9,32.01
4858,typical_day_mean_utci,32.62,34.07,35.25
4966,typical_day_mean_utci,31.94,33.39,34.54
4859,typical_day_mean_utci,31.43,32.88,34.03
5073,typical_day_mean_utci,32.65,34.09,35.27
4967,typical_day_mean_utci,30.69,32.14,33.25
4860,typical_day_mean_utci,30.71,32.17,33.28
5074,typical_day_mean_utci,30.64,32.09,33.19
4968,typical_day_mean_utci,30.12,31.57,32.66
4861,typical_day_mean_utci,32.12,33.58,34.75
5075,typical_day_mean_utci,29.78,31.23,32.32
5500,typical_day_mean_utci,30.19,31.64,32.74
5714,typical_day_mean_utci,31.44,32.89,34.05
5608,typical_day_mean_utci,31.22,32.67,33.8
5501,typical_day_mean_utci,30.11,31.56,32.66
5715,typical_day_mean_utci,30.9,32.35,33.47
5609,typical_day_mean_utci,29.98,31.44,32.54
5502,typical_day_mean_utci,29.63,31.09,32.18
5716,typical_day_mean_utci,29.53,30.98,32.05
5610,typical_day_mean_utci,29.89,31.35,32.44
5289,typical_day_mean_utci,30.1,31.56,32.66
5183,typical_day_mean_utci,29.7,31.16,32.25
4969,typical_day_mean_utci,29.83,31.28,32.35
4862,typical_day_mean_utci,29.9,31.35,32.43
5076,typical_day_mean_utci,29.64,31.08,32.16
4970,typical_day_mean_utci,29.88,31.33,32.42
4863,typical_day_mean_utci,30.34,31.79,32.9
5077,typical_day_mean_utci,30.06,31.51,32.61
4971,typical_day_mean_utci,30.52,31.98,33.11
4864,typical_day_mean_utci,30.0,31.47,32.57
5078,typical_day_mean_utci,30.82,32.28,33.42
4972,typical_day_mean_utci,29.77,31.23,32.34
4865,typical_day_mean_utci,30.63,32.08,33.19
5079,typical_day_mean_utci,29.73,31.19,32.3
4973,typical_day_mean_utci,30.41,31.85,32.93
4866,typical_day_mean_utci,31.17,32.6,33.72
5080,typical_day_mean_utci,30.12,31.57,32.69
4974,typical_day_mean_utci,30.21,31.65,32.75
4867,typical_day_mean_utci,30.05,31.49,32.56
5081,typical_day_mean_utci,28.84,30.29,31.34
4975,typical_day_mean_utci,29.4,30.85,31.93
4868,typical_day_mean_utci,30.06,31.52,32.63
5082,typical_day_mean_utci,29.83,31.29,32.41
4976,typical_day_mean_utci,30.09,31.54,32.64
4869,typical_day_mean_utci,29.63,31.07,32.14
5083,typical_day_mean_utci,29.64,31.1,32.19
4977,typical_day_mean_utci,29.35,30.78,31.84
5084,typical_day_mean_utci,29.68,31.11,32.17
4870,typical_day_mean_utci,30.93,32.37,33.49
4978,typical_day_mean_utci,30.29,31.72,32.81
5085,typical_day_mean_utci,29.86,31.31,32.39
4871,typical_day_mean_utci,31.95,33.4,34.55
4979,typical_day_mean_utci,30.0,31.45,32.54
5086,typical_day_mean_utci,28.48,29.92,30.96
4872,typical_day_mean_utci,30.5,31.95,33.05
4980,typical_day_mean_utci,30.41,31.85,32.94
4873,typical_day_mean_utci,30.9,32.35,33.45
4981,typical_day_mean_utci,29.96,31.41,32.51
4874,typical_day_mean_utci,32.15,33.6,34.79
7849,typical_day_mean_utci,29.6,31.06,32.17
